Gene_name,Pathway,E18_Vs_LU3,E18_Vs_LU4,LI1_Vs_LU3,LI1_Vs_LU4,LI2_Vs_LU3,LI2_Vs_LU4,LI3_Vs_LU3,LI3_Vs_LU4,cLTMR1,cLTMR2,NF1,NF2,NF3,NP,PEP1,PEP2,SST,Z.2days,Z.4days,Z.7days,Z.12days,NRGcs_2d,T5RGCs_2d,TRGCs_2d,Cartpt_2d,Alpha_RGCS_7D,Cartpt_RGCS_7D,F_RGCS_7d,T_RGCS_7d,ipRGCs_7D,T5_RGCS_7d
Epha3,neurogenesis,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,axon development,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,neuron projection development,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,neuron differentiation,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,regulation of cell migration,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha4,neuron development,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,positive regulation of cell motility,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,generation of neurons,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,neurogenesis,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,neuron projection development,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,Regulation of cellular component movement,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,central nervous system neuron differentiation,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,axon development,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
Epha4,neuron differentiation,1.85720256,1.822992678,0,0,0,0,0,0,0,0,-0.145689067,0,0,0,0,0,0,-0.586426265,-0.698463168,-0.228203192,-0.016930318,0,0,0,0,0.286291515,0.282917144,0,0,0,0
